fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C05_S29_L002_R2_001.fastq.gz	HD01_02_C05_S29_L002_R2_001	HD01	1	HD01_02_C05	02	C05	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C06_S126_L001_R1_001.fastq.gz	HD01_02_C06_S126_L001_R1_001	HD01	1	HD01_02_C06	02	C06	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C06_S126_L001_R2_001.fastq.gz	HD01_02_C06_S126_L001_R2_001	HD01	1	HD01_02_C06	02	C06	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C06_S126_L002_R1_001.fastq.gz	HD01_02_C06_S126_L002_R1_001	HD01	1	HD01_02_C06	02	C06	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C06_S126_L002_R2_001.fastq.gz	HD01_02_C06_S126_L002_R2_001	HD01	1	HD01_02_C06	02	C06	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C07_S31_L001_R1_001.fastq.gz	HD01_02_C07_S31_L001_R1_001	HD01	1	HD01_02_C07	02	C07	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C07_S31_L001_R2_001.fastq.gz	HD01_02_C07_S31_L001_R2_001	HD01	1	HD01_02_C07	02	C07	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C07_S31_L002_R1_001.fastq.gz	HD01_02_C07_S31_L002_R1_001	HD01	1	HD01_02_C07	02	C07	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C07_S31_L002_R2_001.fastq.gz	HD01_02_C07_S31_L002_R2_001	HD01	1	HD01_02_C07	02	C07	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C08_S128_L001_R1_001.fastq.gz	HD01_02_C08_S128_L001_R1_001	HD01	1	HD01_02_C08	02	C08	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C08_S128_L001_R2_001.fastq.gz	HD01_02_C08_S128_L001_R2_001	HD01	1	HD01_02_C08	02	C08	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C08_S128_L002_R1_001.fastq.gz	HD01_02_C08_S128_L002_R1_001	HD01	1	HD01_02_C08	02	C08	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C08_S128_L002_R2_001.fastq.gz	HD01_02_C08_S128_L002_R2_001	HD01	1	HD01_02_C08	02	C08	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C09_S33_L001_R1_001.fastq.gz	HD01_02_C09_S33_L001_R1_001	HD01	1	HD01_02_C09	02	C09	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C09_S33_L001_R2_001.fastq.gz	HD01_02_C09_S33_L001_R2_001	HD01	1	HD01_02_C09	02	C09	L001	R2	FALSE
